"Story","Title","Result","Date","Stability","Duration (s)"
"Add products","Add products in the cart successfully","PENDING","2023-12-18T14:25:06.74454-05:00[America/Bogota]","0.0","0.37"
"Add products","Add products in the cart successfully","SUCCESS","2024-07-22T14:00:31.1403094-05:00[America/Bogota]","0.0","66.54"
